0,1,2,3
2017-08-31 20:21:12+00:00,TxDOTBeaumont,The Rainbow Bridge is now OPEN,
2017-08-31 20:15:11+00:00,TxDOTBeaumont,ORANGE CO– I10 westbound from Neches River-Sabine River is CLOSED due to high water. I10 eastbound is closed from the Neches River to FM105.,
2017-08-31 18:59:17+00:00,TxDOTBeaumont,"Yes, it is closed.",
2017-08-31 18:37:36+00:00,TxDOTBeaumont,http://DriveTexas.org is manually updated by crews who continually check the locations. It's 100 pct reliable.,
2017-08-31 17:41:51+00:00,TxDOTBeaumont,http://DriveTexas.org is manually updated by crews who continually check the locations. It's 100 pct reliable.,
2017-08-31 16:06:28+00:00,TxDOTBeaumont,We have no information on that at this time. Please check http://DriveTexas.org for the latest information regarding closures.,
2017-08-31 15:55:31+00:00,TxDOTBeaumont,http://drivetexas.org is updated regularly and is the most up-to-date resource we have.,
2017-08-31 15:39:56+00:00,TxDOTBeaumont,Please check http://DriveTexas.org for the latest information regarding road conditions and closures. #Harvey,#Harvey
2017-08-31 15:32:55+00:00,TxDOTBeaumont,Please visit http://www.drivetexas.org for the latest information regarding road conditions and closures.,
2017-08-31 15:32:32+00:00,TxDOTBeaumont,Please visit http://www.drivetexas.org for the latest information regarding road conditions and closures.,
2017-08-31 15:30:25+00:00,TxDOTBeaumont,Please visit http://www.drivetexas.org for the latest information regarding road conditions and closures.,
2017-08-31 15:30:13+00:00,TxDOTBeaumont,Please visit http://www.drivetexas.org for the latest information regarding road conditions and closures.,
2017-08-31 15:29:59+00:00,TxDOTBeaumont,Please visit http://www.drivetexas.org for the latest information regarding road conditions and closures.,
2017-08-31 15:24:34+00:00,TxDOTBeaumont,still closed,
2017-08-31 15:24:03+00:00,TxDOTBeaumont,visit http://DriveTexas.org for alternative routes,
2017-08-31 15:16:24+00:00,TxDOTBeaumont,at this time yes,
2017-08-31 15:12:19+00:00,TxDOTBeaumont,"No, still closed",
2017-08-31 15:10:44+00:00,TxDOTBeaumont,No. We do not know when the water will go down,
2017-08-31 12:49:54+00:00,TxDOTBeaumont,US69 in Port Arthur DOES have water on it. Small vehicles can not get through,
2017-08-31 12:47:58+00:00,TxDOTBeaumont,I10 between Beaumont & Winnie is still closed,
2017-08-31 12:45:26+00:00,TxDOTBeaumont,flooding from Pine Island Bayou has now reached Tram Rd. The closure of US69 BMT-Lumberton now begins @Chin Ln #Harvey,#Harvey
2017-08-31 01:29:01+00:00,TxDOTBeaumont,we have no estimate on how long it will take for the water to go down,
2017-08-31 01:28:08+00:00,TxDOTBeaumont,Visit http://DriveTexas.org for up to date road conditions,
2017-08-30 23:35:10+00:00,TxDOTBeaumont,There is no way to know how long it will take to go down,
2017-08-30 23:16:56+00:00,TxDOTBeaumont,"The amount of water on our state roads in Southeast Texas is unprecedented! Please, for your safety & others, stay off the roads. #Harvey",#Harvey
2017-08-30 23:06:27+00:00,TxDOTBeaumont,Our crews are constantly monitoring the roadways. As soon as it's open we'll change DriveTexas,
2017-08-30 21:54:12+00:00,TxDOTBeaumont,"We don't have an exact date. The water will have to recede, and we'll have to make sure there's no damage",
2017-08-30 21:51:28+00:00,TxDOTBeaumont,I10 between Beaumont and Winnie is still closed #Harvey,#Harvey
2017-08-30 20:39:09+00:00,TxDOTBeaumont,US69 in Port Arthur #Harvey,#Harvey
2017-08-30 20:10:21+00:00,TxDOTBeaumont,Please visit http://DriveTexas.org,
2017-08-30 19:38:03+00:00,TxDOTBeaumont,"No, I10 between Beaumont and Winnie is still closed",
2017-08-30 19:37:25+00:00,TxDOTBeaumont,"Visit http://DriveTexas.org for safe, alternative routes",
2017-08-30 19:26:41+00:00,TxDOTBeaumont,US69 between Beaumont & Lumberton is still closed and the water is rising. PLEASE STAY HOME #Harvey,#Harvey
2017-08-30 17:57:45+00:00,TxDOTBeaumont,CLEVELAND– US59 has reopened in both directions. Please visit http://DriveTexas.org for current road conditions. #Harvey,#Harvey
2017-08-30 16:09:35+00:00,TxDOTBeaumont,due to high water,
2017-08-30 14:56:39+00:00,TxDOTBeaumont,Louisiana State Police have CLOSED I10 westbound @state line. Traffic is being diverted to I49 north and west on I20,
2017-08-30 14:46:31+00:00,TxDOTBeaumont,@JCSO_Texas you'll need to check with local law enforcement,
2017-08-30 14:30:17+00:00,TxDOTBeaumont,That means there is water on the roadway but not closed. We are urging EVERYONE to stay off the roads,
2017-08-30 14:29:11+00:00,TxDOTBeaumont,Visit http://DriveTexas.org for current road conditions.,
2017-08-30 14:27:19+00:00,TxDOTBeaumont,Visit http://DriveTexas.org for the latest road conditions,
2017-08-30 14:26:31+00:00,TxDOTBeaumont,Visit http://DriveTexas.org for current road conditions,
2017-08-30 12:06:22+00:00,TxDOTBeaumont,water now on the shoulder of I10 in Orange. At this time still open. Please SLOW DOWN & USE CAUTION #Harvey,#Harvey
2017-08-30 11:41:51+00:00,TxDOTBeaumont,@TxDOTLufkin has sent crews to help SETX. Fueling up and heading out soon to assist! #Harvey,#Harvey
2017-08-30 01:46:32+00:00,TxDOTBeaumont,Visit http://DriveTexas.org for alternative routes,
2017-08-30 00:40:44+00:00,TxDOTBeaumont,"No, you can not get to Houston from Beaumont on I10",
2017-08-29 23:41:21+00:00,TxDOTBeaumont,"No, at this time the Veterans is OPEN",
2017-08-29 23:04:39+00:00,TxDOTBeaumont,US69 north & southbound between Beaumont & Lumberton are now CLOSED #Harvey,#Harvey
2017-08-29 20:30:39+00:00,TxDOTBeaumont,Rainbow Bridge between Bridge City & Port Arthur is now CLOSED due to high water at the foot of the bridge. STAY HOME IF POSSIBLE #Harvey,#Harvey
2017-08-29 18:28:11+00:00,TxDOTBeaumont,"CHAMBERS COUNTY: the water on SH146 at I10 continues to rise. If you are in a safe place, stay there. Do not get out on the roads! #Harvey",#Harvey
2017-08-29 17:10:55+00:00,TxDOTBeaumont,We are monitoring,
2017-08-29 17:09:39+00:00,TxDOTBeaumont,Yes,
2017-08-29 16:15:43+00:00,TxDOTBeaumont,"Small cattle drive on SH124 in BMT right now. Be careful, lots of livestock trying to find higher ground #Harvey",#Harvey
2017-08-29 16:10:46+00:00,TxDOTBeaumont,Yes. Posted right after it was taken.,
2017-08-29 15:49:32+00:00,TxDOTBeaumont,I10 east&westbound between BMT & Winnie are still closed. In front of Goodyear is approaching 2 FEET deep,
2017-08-29 15:29:17+00:00,TxDOTBeaumont,Even our area engineers & district engineer are helping put up signage #Harvey,#Harvey
2017-08-29 15:16:59+00:00,TxDOTBeaumont,BMT: Major Dr @I10. #turnarounddontdrown #Harvey,#turnarounddontdrown #Harvey
2017-08-29 15:07:33+00:00,TxDOTBeaumont,We're having issues w/people driving the wrong way because other direction is flooded. PLEASE DONT DO THAT! We want everyone to stay safe,
2017-08-29 14:22:17+00:00,TxDOTBeaumont,PORT ARTHUR: SH73 westbound near LaBelle Rd is CLOSED #TurnAroundDontDrown #Harvey,#TurnAroundDontDrown #Harvey
2017-08-29 13:44:49+00:00,TxDOTBeaumont,"Rainbow Bridge is still OPEN at this time, BUT 1/2 mile from the bridge there is water on the rd. PLEASE SLOW DOWN #Harvey",#Harvey
2017-08-29 12:37:08+00:00,TxDOTBeaumont,"KOUNTZE: This was taken yesterday, 5-6 FEET of water on FM1003 #Harvey",#Harvey
2017-08-29 11:20:27+00:00,TxDOTBeaumont,"yes, I10 between Bmt & Winnie is still closed. Visit http://DriveTexas.org for safe, alternative routes",
2017-08-29 11:19:30+00:00,TxDOTBeaumont,as of right now it is. Please avoid unnecessary travel. Visit http://DriveTexas.org for current road conditions,
2017-08-29 11:16:46+00:00,TxDOTBeaumont,"As of this morning, more than 180 areas in Southeast Texas have water over the road. STAY OFF THE ROADS IF POSSIBLE #Harvey",#Harvey
2017-08-29 00:30:31+00:00,TxDOTBeaumont,I10 EAST & WESTBOUND between BMT & Winnie now CLOSED #Harvey,#Harvey
2017-08-28 23:53:04+00:00,TxDOTBeaumont,I10 westbound between Beaumont and Winnie now CLOSED,
2017-08-28 23:10:26+00:00,TxDOTBeaumont,Not at this time,
2017-08-28 21:43:07+00:00,TxDOTBeaumont,"Not at this time, but crews are continuing to monitor",
2017-08-28 20:27:39+00:00,TxDOTBeaumont,PORT ARTHUR: SH73 at the bottom of the Rainbow Bridge #Harvey,#Harvey
2017-08-28 19:26:56+00:00,TxDOTBeaumont,no it is not,
2017-08-28 19:23:17+00:00,TxDOTBeaumont,ORANGE COUNTY: FM1130 #Harvey,#Harvey
2017-08-28 19:01:50+00:00,TxDOTBeaumont,PORT ARTHUR: SH87 at Valero #Harvey,#Harvey
2017-08-28 18:31:14+00:00,TxDOTBeaumont,Please slow down on I10. Do not travel unless necessary! #Harvey,#Harvey
2017-08-28 18:25:08+00:00,TxDOTBeaumont,I10 between Bmt & Winnie has several areas with water over the rd. Small & low profile vehicles should find an alternate route #Harvey,#Harvey
2017-08-28 18:04:19+00:00,TxDOTBeaumont,FM365 in Port Acres is closed #Harvey,#Harvey
2017-08-28 16:55:11+00:00,TxDOTBeaumont,Want to know which roads ARE NOT impacted by flooding? Visit http://DriveTexas.org #Harvey,#Harvey
2017-08-28 16:53:43+00:00,TxDOTBeaumont,TYLER COUNTY: FM1745 @Russell Creek #Harvey,#Harvey
2017-08-28 16:30:44+00:00,TxDOTBeaumont,"If it is not closed, it is passable. However, we are asking drivers to not drive into standing water.",
2017-08-28 15:44:31+00:00,TxDOTBeaumont,visit http://DriveTexas.org to view where roads are having issues,
2017-08-28 15:43:08+00:00,TxDOTBeaumont,LIBERTY COUNTY: FM223. Please do not drive into standing water. #TurnAroundDontDrown #Harvey,#TurnAroundDontDrown #Harvey
2017-08-28 15:35:53+00:00,TxDOTBeaumont,HARDIN COUNTY: FM787 at FM770. Please DO NOT go around barricades. They are there for your safety! #Harvey,#Harvey
2017-08-28 15:06:10+00:00,TxDOTBeaumont,TYLER CO: FM1013 #Harvey,#Harvey
2017-08-28 15:02:36+00:00,TxDOTBeaumont,visit http://DriveTexas.org for road conditions. We're working hard to make sure it's up to date.,
2017-08-28 14:44:27+00:00,TxDOTBeaumont,CLEVELAND: US59 is closed. Please stay off the roads. #Harvey,#Harvey
2017-08-28 14:15:48+00:00,TxDOTBeaumont,HARDIN CO: FM1293 10 miles from FM787 #Harvey,#Harvey
2017-08-28 14:06:10+00:00,TxDOTBeaumont,TYLER CO: FM92 @Magnolia Ridge Park #Harvey,#Harvey
2017-08-28 12:59:07+00:00,TxDOTBeaumont,TYLER CO: FM1745 @Billiums Creek #TurnAroundDontDrown #Harvey,#TurnAroundDontDrown #Harvey
2017-08-28 12:30:14+00:00,TxDOTBeaumont,Liberty County Sunday night,
2017-08-28 12:28:52+00:00,TxDOTBeaumont,NEWTON CO: FM1414 blocked by a tree,
2017-08-28 11:50:58+00:00,TxDOTBeaumont,Approximately 100 locations in SETX with water over the road. TxDOT crews are working around the clock monitoring roadways #Harvey,#Harvey
2017-08-28 11:14:41+00:00,TxDOTBeaumont,More roads in SETX with water than there were yesterday. Visit http://DriveTexas.org. Please STAY OFF THE ROADS IF YOU CAN #Harvey,#Harvey
2017-08-28 10:05:33+00:00,TxDOTBeaumont,"Yes, but please stay home if possible. Visit http://DriveTexas.org for conditions",
2017-08-28 10:04:12+00:00,TxDOTBeaumont,CHAMBERS CO: I10 westbound near SH146 & Cedar Bayou CLOSED due to water over the road Visit http://DriveTexas.org for real time conditions,
2017-08-28 01:14:15+00:00,TxDOTBeaumont,HARDIN COUNTY: FM 770 is closed from FM1003 to Saratoga. Visit http://DriveTexas.org for up to date closures #Harvey,#Harvey
2017-08-28 01:11:49+00:00,TxDOTBeaumont,Virtually every state roadway in Liberty Co has water over it in some area. Please do not go around barricades. They are there for a reason!,
2017-08-28 00:55:12+00:00,TxDOTBeaumont,VIDOR: sections of I10 frontage rd in Orange Co are flooded. Please continue to stay off the rds & do not go around barricades #Harvey,#Harvey
2017-08-27 22:18:07+00:00,TxDOTBeaumont,CHAMBERS COUNTY: SH99 north and southbound have become rivers #Harvey,#Harvey
2017-08-27 21:42:05+00:00,TxDOTBeaumont,"Yes, but please stay off the roads if possible",
2017-08-27 21:41:52+00:00,TxDOTBeaumont,MONT BELVIEU: SH146 @I10 #Harvey,#Harvey
2017-08-27 21:35:23+00:00,TxDOTBeaumont,Water along the I10 frontage roads near Mont Belvieu is moving swiftly. Do not attempt to drive through standing water. #Harvey,#Harvey
2017-08-27 20:17:52+00:00,TxDOTBeaumont,ORANGE CO: I10 frontage road. #Harvey #TurnAroundDontDrown,#Harvey #TurnAroundDontDrown
2017-08-27 20:12:13+00:00,TxDOTBeaumont,The Chambers County rest areas/facilities on I10 east and westbound will close at 4pm due to flooding along the frontage rds #Harvey,#Harvey
2017-08-27 19:42:06+00:00,TxDOTBeaumont,This number continues to grow. Please stay off the roads if at all possible. #Harvey,#Harvey
2017-08-27 17:46:27+00:00,TxDOTBeaumont,More than 55 locations in the BMT District either closed or w/water on the road. Visit http://DriveTexas.org to view conditions. #Harvey,#Harvey
2017-08-27 16:37:04+00:00,TxDOTBeaumont,WINNIE: SH 124 from FM1406 to Buccaneer CLOSED due to water over the road,
2017-08-27 16:32:47+00:00,TxDOTBeaumont,Check http://DriveTexas.org for conditions throughout the state. Please stay off the roads if you can,
2017-08-27 16:24:19+00:00,TxDOTBeaumont,LIBERTY COUNTY- water over the road,
2017-08-27 16:23:53+00:00,TxDOTBeaumont,JEFFERSON COUNTY: water over the road,
2017-08-27 16:23:32+00:00,TxDOTBeaumont,CHAMBERS COUNTY- water over the road,
2017-08-27 16:23:09+00:00,TxDOTBeaumont,ORANGE COUNTY- water over the road,
2017-08-27 16:22:38+00:00,TxDOTBeaumont,HARDIN COUNTY-water over the road,
2017-08-27 15:47:58+00:00,TxDOTBeaumont,Major flooding in Chambers Co. Please stay off the roads. #Harvey,#Harvey
2017-08-27 15:33:19+00:00,TxDOTBeaumont,CHAMBERS CO: can not access SH99 from I10. #Harvey,#Harvey
2017-08-27 15:06:57+00:00,TxDOTBeaumont,NEDERLAND •Magnolia at Twin City Hwy CLOSED due to water over the road,
2017-08-27 14:50:50+00:00,TxDOTBeaumont,BEAUMONT: US69 frontage rd @Lucas. DO NOT DRIVE INTO STANDING WATER #Harvey #TurnAroundDontDrown,#Harvey #TurnAroundDontDrown
2017-08-27 14:48:46+00:00,TxDOTBeaumont,BEAUMONT: Lucas under US69. #Harvey #TURNAROUNDDONTDROWN,#Harvey #TURNAROUNDDONTDROWN
2017-08-27 14:34:43+00:00,TxDOTBeaumont,BEAUMONT: water over the US69 frontage roads at Lamar. Please stay off the roads if you can #Harvey,#Harvey
2017-08-27 14:19:46+00:00,TxDOTBeaumont,LIBERTY COUNTY: SH146 north of FM1413. Please DO NOT drive into standing water #TURNAROUNDDONTDROWN,#TURNAROUNDDONTDROWN
2017-08-27 13:59:43+00:00,TxDOTBeaumont,"SETX continues to receive large amounts of rain from #Harvey. We have areas with water over the road. If you don't need to get out, stay in",#Harvey
2017-08-27 13:57:33+00:00,TxDOTBeaumont,LIBERTY COUNTY- areas with water over the road,
2017-08-27 13:56:15+00:00,TxDOTBeaumont,ORANGE COUNTY- areas with water over the road,
2017-08-27 13:54:29+00:00,TxDOTBeaumont,JEFFERSON COUNTY-areas with water over the road,
2017-08-27 13:53:04+00:00,TxDOTBeaumont,CHAMBERS COUNTY-areas with water over the road,
2017-08-27 13:46:05+00:00,TxDOTBeaumont,LIBERTY CO: Business 105 @SH321,
2017-08-26 23:26:37+00:00,TxDOTBeaumont,At this time we are having no issues with flooding on state roadways in BMT. Continue to check http://DriveTexas.org for rd conditions,
2017-08-26 18:19:14+00:00,TxDOTBeaumont,"Happy to help @TxDOTHoustonPIO clear SH87 heading toward Bolivar. If you don't have to get out, please stay in. #Harvey",#Harvey
2017-08-26 18:12:50+00:00,TxDOTBeaumont,Our crew from Anahuac is working now to clear SH87 @SH124 heading toward Bolivar. Check http://DriveTexas.org for rd conditions. #Harvey,#Harvey
2017-08-26 01:01:20+00:00,TxDOTBeaumont,BMT: US69 southbound at Ave. A opening now following the removal of a sign bridge damaged earlier today by a vehicle,
2017-08-26 00:37:38+00:00,TxDOTBeaumont,main section of US69 SB sign bridge @Ave. A has been removed. Working to remove its support column now. It was damaged earlier by a vehicle,
2017-08-25 21:59:25+00:00,TxDOTBeaumont,All SB traffic has been moved to the frontage Rd. Expect some delays,
2017-08-25 21:18:48+00:00,TxDOTBeaumont,BMT: In approx 30 minutes traffic on US69 SB will be detoured to the frontage rd to remove this sign bridge damaged earlier today,
2017-08-25 20:55:41+00:00,TxDOTBeaumont,BMT: US69 southbound traffic near Ave. A will be detoured to the frontage Rd shortly to remove a sign bridge damaged earlier today,
2017-08-25 18:46:44+00:00,TxDOTBeaumont,"Currently, no #Harvey related closures in SETX. Everything will stay open as long as conditions allow. Visit http://DriveTexas.org",#Harvey
2017-08-25 18:12:34+00:00,TxDOTBeaumont,not that we are aware of,
2017-08-25 14:43:44+00:00,TxDOTBeaumont,Winnie: I10 eastbound down to 1 lane due to an accident,
